RAAA#,Name,PROS,CED,BW,WW,YW,ADG,DMI,Milk,ME,HPG,CEM,STAY,Marb,YG,CW,REA,FAT,HB,GM,cow,bull,higher_count,lower_count,combined_count,PROS_pct,CED_pct,Milk_pct,WW_pct,YW_pct,ADG_pct,HPG_pct,CEM_pct,Marb_pct,STAY_pct,CW_pct,REA_pct,HB_pct,GM_pct,BW_pct,DMI_pct,ME_pct,YG_pct,FAT_pct,pair_score
PM1,HHOLL N01 - LSF SRR PRESIDENT 8177F,170,16,-4.4,69,101,0.2,0.94,30,-6,12,9,20,0.79,-0.08,23,0.4,0.0,103,67,N01 , 8177F,8,3,11,1.3373379533446044,0.5418010585969488,0.3793066276596828,-0.42132846879242797,-0.6862977066066798,-0.9308108330389733,-0.6614378277661476,0.0,1.5949752247937474,0.8927935326663177,-0.4690086491804925,2.1333099483789066,1.0951467776306418,0.6402420713370138,1.32264857190595,-1.6639764838747981,1.0017214679638937,1.3344905182214675,-0.0,19.265627400237683
PM2,HHOLL N02 - LSF SRR PRESIDENT 8177F,171,15,-4.3,69,101,0.2,0.91,30,-6,12,9,20,0.81,-0.08,21,0.39,0.0,104,67,N02 , 8177F,7,3,10,1.3640847124114963,0.0,0.3793066276596828,-0.42132846879242797,-0.6862977066066798,-0.9308108330389733,-0.6614378277661476,0.0,1.7225732427772473,0.8927935326663177,-0.6253448655739899,1.9910892851536461,1.1283330436194492,0.6402420713370138,1.2281736739126672,-1.5660955142351045,1.0017214679638937,1.3344905182214675,-0.0,17.345306047409114
PM3,HHOLL N04 - LSF SRR PRESIDENT 8177F,165,12,-2.7,71,107,0.23,0.81,28,-4,12,8,20,0.69,-0.01,27,0.21,-0.01,98,67,N04 , 8177F,5,3,8,1.2036041580101438,-1.6254031757908463,-0.3793066276596828,-0.21066423439621398,-0.3921701180609598,-0.5817567706493584,-0.6614378277661476,-0.9972640167606985,0.9569851348762478,0.8927935326663177,-0.15633621639349748,-0.5688826529010418,0.9292154476866054,0.6402420713370138,-0.28342469397984615,-1.2398256154361245,0.5008607339819469,0.29655344849365944,1.4381174563233068,7.250615621913989
PM4,HHOLL N07 - LSF SRR PRESIDENT 8177F,159,15,-3.6,66,99,0.21,0.77,30,-4,11,8,20,0.73,-0.02,19,0.19,0.0,97,62,N07 , 8177F,6,3,9,1.0431236036087912,0.0,0.3793066276596828,-0.7373248203867488,-0.7843402361219196,-0.8144594789091018,-1.3228756555322951,-0.9972640167606985,1.2121811708432477,0.8927935326663177,-0.7816810819674875,-0.8533239793515626,0.896029181697798,0.10670701188950231,0.5668493879596926,-1.109317655916532,0.5008607339819469,0.4448301727404892,-0.0,8.402927026355457
PM5,HHOLL N08 - LSF SRR PRESIDENT 8177F,160,15,-3.7,69,102,0.21,0.75,31,-4,11,8,20,0.73,-0.02,20,0.2,0.0,97,63,N08 , 8177F,6,3,9,1.0698703626756831,0.0,0.7586132553193656,-0.42132846879242797,-0.6372764418490597,-0.8144594789091018,-1.3228756555322951,-0.9972640167606985,1.2121811708432477,0.8927935326663177,-0.7035129737707387,-0.711103316126302,0.896029181697798,0.21341402377900462,0.661324285952975,-1.0440636761567361,0.5008607339819469,0.4448301727404892,-0.0,9.527335147080212
PM6,HHOLL N10 - LSF SRR PRESIDENT 8177F,166,17,-5.1,62,92,0.19,0.92,27,-6,12,10,20,0.82,-0.08,17,0.33,0.0,100,66,N10 , 8177F,8,3,11,1.2303509170770357,1.0836021171938977,-0.7586132553193656,-1.158653289179177,-1.1274890894252596,-1.047162187168845,-0.6614378277661476,0.9972640167606985,1.7863722517689964,0.8927935326663177,-0.938017298360985,1.1377653058020836,0.99558797966422,0.5335350594475116,1.983972857858924,-1.5987225041150024,1.0017214679638937,1.3344905182214675,-0.0,18.37223282098943
PM7,HHOLL N101 - LSF SRR PRESIDENT 8177F,172,14,-4.1,68,102,0.21,0.76,31,-5,13,8,20,0.84,-0.01,19,0.22,0.01,103,69,N101 , 8177F,6,3,9,1.3908314714783885,-0.5418010585969488,0.7586132553193656,-0.526660585990535,-0.6372764418490597,-0.8144594789091018,0.0,-0.9972640167606985,1.9139702697524965,0.8927935326663177,-0.7816810819674875,-0.4266619896757813,1.0951467776306418,0.8536560951160185,1.0392238779261027,-1.076690666036634,0.7512911009729203,0.29655344849365944,-1.4381174563233068,11.062535037867681
PM8,HHOLL N103 - LSF SRR PRESIDENT 8177F,145,17,-4.9,64,94,0.19,0.8,27,-6,12,9,18,0.73,-0.07,12,0.21,-0.01,91,54,N103 , 8177F,5,4,9,0.6686689766723022,1.0836021171938977,-0.7586132553193656,-0.9479890547829629,-1.0294465599100195,-1.047162187168845,-0.6614378277661476,0.0,1.2121811708432477,0.2975978442221059,-1.3288578393447286,-0.5688826529010418,0.696911585764954,-0.7469490832265161,1.7950230618723604,-1.2071986255562264,1.0017214679638937,1.1862137939746378,1.4381174563233068,11.614019254798293
PM9,HHOLL N11 - LSF SRR PRESIDENT 8177F,163,16,-4.2,71,107,0.23,0.86,29,-3,12,9,19,0.71,-0.02,28,0.24,-0.01,93,70,N11 , 8177F,6,4,10,1.1501106398763596,0.5418010585969488,0.0,-0.21066423439621398,-0.3921701180609598,-0.5817567706493584,-0.6614378277661476,0.0,1.0845831528597478,0.5951956884442118,-0.07816810819674874,-0.14222066322526056,0.7632841177425685,0.9603631070055207,1.1336987759193853,-1.402960564835614,0.25043036699097343,0.4448301727404892,1.4381174563233068,15.46535395489627
PM10,HHOLL N16 - LSF SRR PRESIDENT 8177F,183,12,-3.1,72,110,0.24,0.84,29,-5,14,8,21,0.82,-0.01,22,0.25,0.01,111,72,N16 , 8177F,6,3,9,1.6850458212142012,-1.6254031757908463,0.0,-0.10533211719810699,-0.24510632378809988,-0.46540541651948686,0.6614378277661476,-0.9972640167606985,1.7863722517689964,1.1903913768884236,-0.5471767573772413,0.0,1.3606369055411007,1.1737771307845253,0.0944748979932822,-1.337706585075818,0.7512911009729203,0.29655344849365944,-1.4381174563233068,10.600986545187332
